hour,Workday Avg Traffic,Holiday Avg Traffic
6,26938.5,16251.57142857143
7,118827.22222222222,42050.71428571428
8,159705.88888888888,66191.28571428571
9,70920.44444444444,61843.0
10,50968.055555555555,62207.71428571428
11,49779.61111111111,63612.28571428572
12,55433.555555555555,72964.85714285714
13,54691.0,76763.85714285714
14,53903.0,78801.85714285714
15,60110.72222222222,83586.85714285714
16,69886.38888888889,87133.42857142857
17,129628.5,91129.85714285714
18,108876.33333333333,75462.71428571429
19,63897.333333333336,60399.0
20,59048.166666666664,58911.857142857145
21,47369.055555555555,45571.71428571428
22,25631.333333333332,27917.0
